K,normalized_K,inverse_K,alpha,thetas,weights,seed
162,12.58415367739489,0.00021573467552885457,0.3,[10],[1],78
14,1.0875194536020274,0.7560372935188074,0.3,"[0, 3, 10]","[1, 1, 1]",78
32,2.4857587510903483,0.048062173839373494,0.3,[0],[1],79
86,6.680476643555312,0.001780909429985789,0.3,[3],[1],79
203,15.769032077229397,0.0001016989677014271,0.3,[10],[1],79
14,1.0875194536020274,0.7560372935188074,0.3,"[0, 3, 10]","[1, 1, 1]",79
6,0.46607976582944033,12.738916855303339,0.3,[0],[1],80
94,7.301916331327899,0.00132396699571758,0.3,[3],[1],80
200,15.535992194314678,0.00010687349666729347,0.3,[10],[1],80
4,0.31071984388629353,49.21566601151847,0.3,"[0, 3, 10]","[1, 1, 1]",80
16,1.2428793755451741,0.48443635619146697,0.3,[0],[1],81
55,4.272397853436536,0.007902436947646262,0.3,[3],[1],81
144,11.185914379906569,0.0003194687364236075,0.3,[10],[1],81
50,3.8839980485786696,0.01085767046637962,0.3,"[0, 3, 10]","[1, 1, 1]",81
21,1.631279180403041,0.1956916771052247,0.3,[0],[1],82
31,2.408078790118775,0.053427439133592894,0.3,[3],[1],82
205,15.924391999172546,9.84291649835984e-05,0.3,[10],[1],82
19,1.4759192584598944,0.27318572443819455,0.3,"[0, 3, 10]","[1, 1, 1]",82
2,0.15535992194314677,496.0628287400623,0.3,[0],[1],83
57,4.427757775379683,0.007015422297439552,0.3,[3],[1],83
178,13.827033052940063,0.00015760500193297996,0.3,[10],[1],83
178,13.827033052940063,0.00015760500193297996,0.3,"[0, 3, 10]","[1, 1, 1]",83
34,2.6411186730334952,0.03926813549502645,0.3,[0],[1],84
86,6.680476643555312,0.001780909429985789,0.3,[3],[1],84
209,16.23511184305884,9.228881096363318e-05,0.3,[10],[1],84
86,6.680476643555312,0.001780909429985789,0.3,"[0, 3, 10]","[1, 1, 1]",84
2,0.15535992194314677,496.0628287400623,0.3,[0],[1],85
70,5.437597268010137,0.0035370663311991035,0.3,[3],[1],85
203,15.769032077229397,0.0001016989677014271,0.3,[10],[1],85
77,5.981356994811151,0.002574349972076794,0.3,"[0, 3, 10]","[1, 1, 1]",85
6,0.46607976582944033,12.738916855303339,0.3,[0],[1],86
103,8.001035980072059,0.0009761410768775173,0.3,[3],[1],86
202,15.691352116257825,0.00010338688240198098,0.3,[10],[1],86
203,15.769032077229397,0.0001016989677014271,0.3,"[0, 3, 10]","[1, 1, 1]",86
1,0.07767996097157338,5000.0,0.3,[0],[1],87
60,4.6607976582944035,0.005912881422789758,0.3,[3],[1],87
135,10.486794731162407,0.0003961479772003406,0.3,[10],[1],87
5,0.38839980485786696,23.39214190570292,0.3,"[0, 3, 10]","[1, 1, 1]",87
9,0.6991196487441605,3.2973241205016186,0.3,[0],[1],88
96,7.457276253271045,0.001234238892641842,0.3,[3],[1],88
188,14.603832662655797,0.00013135416261082894,0.3,[10],[1],88
188,14.603832662655797,0.00013135416261082894,0.3,"[0, 3, 10]","[1, 1, 1]",88
5,0.38839980485786696,23.39214190570292,0.3,[0],[1],89
104,8.078715941043633,0.0009452039763984577,0.3,[3],[1],89
186,14.448472740712651,0.00013612154098292396,0.3,[10],[1],89
103,8.001035980072059,0.0009761410768775173,0.3,"[0, 3, 10]","[1, 1, 1]",89
7,0.5437597268010137,7.620378404879155,0.3,[0],[1],90
84,6.525116721612164,0.001926219244328931,0.3,[3],[1],90
168,13.050233443224329,0.00019110515342307097,0.3,[10],[1],90
165,12.81719356030961,0.00020293495379613153,0.3,"[0, 3, 10]","[1, 1, 1]",90
31,2.408078790118775,0.053427439133592894,0.3,[0],[1],91
89,6.913516526470032,0.001588558876032669,0.3,[3],[1],91
140,10.875194536020274,0.0003509214259391723,0.3,[10],[1],91
88,6.835836565498458,0.0016495333374761136,0.3,"[0, 3, 10]","[1, 1, 1]",91
31,2.408078790118775,0.053427439133592894,0.3,[0],[1],92
107,8.311755823958352,0.0008597207562688625,0.3,[3],[1],92
212,16.46815172597356,8.800698331134763e-05,0.3,[10],[1],92
212,16.46815172597356,8.800698331134763e-05,0.3,"[0, 3, 10]","[1, 1, 1]",92
24,1.8643190633177613,0.12539085545982248,0.3,[0],[1],93
65,5.049197463152271,0.004528198767769069,0.3,[3],[1],93
147,11.418954262821288,0.0002982489260454478,0.3,[10],[1],93
22,1.7089591413746146,0.16758214113063669,0.3,"[0, 3, 10]","[1, 1, 1]",93
12,0.9321595316588807,1.2638606260652467,0.3,[0],[1],94
72,5.592957189953284,0.0032200430864273606,0.3,[3],[1],94
217,16.856551530831425,8.142746068032535e-05,0.3,[10],[1],94
169,13.127913404195903,0.00018736177364325244,0.3,"[0, 3, 10]","[1, 1, 1]",94
2,0.15535992194314677,496.0628287400623,0.3,[0],[1],95
56,4.35007781440811,0.007441775786014798,0.3,[3],[1],95
151,11.729674106707582,0.0002727178179308604,0.3,[10],[1],95
2,0.15535992194314677,496.0628287400623,0.3,"[0, 3, 10]","[1, 1, 1]",95
28,2.175038907204055,0.07500839969118409,0.3,[0],[1],96
87,6.758156604526885,0.001713585698648385,0.3,[3],[1],96
221,17.167271374717718,7.661769671346192e-05,0.3,[10],[1],96
88,6.835836565498458,0.0016495333374761136,0.3,"[0, 3, 10]","[1, 1, 1]",96
13,1.0098394926304541,0.9678888718320209,0.3,[0],[1],97
82,6.369756799669018,0.0020873270267047347,0.3,[3],[1],97
